Time,V_Mean,L_Mean,S_Mean,V_STD,L_STD,S_STD,B_WF_Mean,B_WF_STD,ECG_WF_Mean,ECG_WF_STD
2014-10-04 16:49:30,2131.5333333333333,2040.4333333333334,2052.7166666666667,1.2138559748519182,1.418601204895508,1.2363377667312974,7646408.866666666,1933.3265508912064,1968.4594594594594,16.234413091125695
2014-10-04 16:49:31,2130.82,2040.23,2052.03,1.2900552020134541,1.5166083904887984,1.313911578594042,7650292.48,1851.3623614339563,1973.332,22.537736672017534
2014-10-04 16:49:32,2131.43,2039.86,2052.82,1.2165109904553124,1.5440992274600138,1.2742991736003066,7647760.08,1486.6709151658588,1961.024,8.239842475197015
2014-10-04 16:49:33,2131.42,2040.04,2052.55,1.4714797060280826,1.588595720640181,1.1752927853573476,7647319.08,571.4355402551475,1961.724,7.783195779766916
2014-10-04 16:49:34,2131.15,2040.3,2052.49,1.1225422086055155,1.4319584667527967,1.176323668782222,7645295.44,688.7774241364975,1957.436,5.844530618673471
2014-10-04 16:49:35,2131.21,2039.92,2052.15,1.0079983164968527,1.541873450505471,1.4025589888385859,7647074.36,3159.5359084314337,1971.64,10.514400146550152
2014-10-04 16:49:36,2131.25,2040.92,2051.36,1.23398836004535,1.59342081666774,1.2754084313139424,7658026.24,4533.419563640651,2003.176,27.33726996825523
2014-10-04 16:49:37,2131.13,2039.64,2051.95,1.236278220459908,1.5276574791941133,1.2663077641455573,7649682.52,4803.139217567776,1963.324,12.876109692108457
2014-10-04 16:49:38,2130.87,2039.6,2052.63,1.276477159761912,1.6453178133936288,1.3607410340019022,7646137.52,794.5848559679439,1974.328,6.390600527368368
2014-10-04 16:49:39,2130.9,2039.52,2051.24,1.3446489534747759,1.3293881025767806,1.3567638264665254,7652092.44,2776.046560608623,1965.856,8.124734410240144
2014-10-04 16:49:40,2131.22,2039.22,2052.09,1.0691259528373416,1.4325226742084807,1.264072303263938,7649062.12,1661.362927438571,1951.516,7.726352963752278
2014-10-04 16:49:41,2131.66,2039.43,2052.1,1.2809403111809374,1.3799063062908439,1.3065491598369885,7645677.28,753.6145964620581,1959.308,5.035330596580861
2014-10-04 16:49:42,2131.46,2039.52,2051.62,1.1756794725699025,1.3594413588237837,1.3164077229069167,7649598.04,2778.589937359753,1968.18,4.564090675564956
2014-10-04 16:49:43,2130.93,2039.4,2051.44,0.9975221827360744,1.4070529413628747,1.2895853221211302,7648977.72,2262.6541479710904,1954.208,2.6850650452437557
2014-10-04 16:49:44,2131.51,2039.32,2051.61,1.0395706184321067,1.3248213144236964,1.2463684621468292,7648570.48,2935.7738633399786,1962.896,4.0713002767878255
2014-10-04 16:49:45,2131.0,2039.04,2051.53,1.3104089885116381,1.3097921802926353,1.2827920936595407,7652299.12,2311.8389383061094,1957.436,6.061755812809817
2014-10-04 16:49:46,2131.22,2039.43,2051.96,1.2274635093015194,1.156929059400297,1.1540005076763438,7646960.36,1346.1460383875647,1959.98,5.3739293320493315
2014-10-04 16:49:47,2130.87,2039.56,2051.23,1.0977939310961526,1.423610433604212,1.3696198691091732,7653546.4,1575.8697334065207,1965.724,6.854762949978457
2014-10-04 16:49:48,2130.76,2039.14,2051.46,1.2236722344539788,1.2392568643174031,1.3059305285712368,7647867.8,1371.5277977498633,1962.76,5.140437372981437
2014-10-04 16:49:49,2131.16,2038.65,2051.66,1.3236008431242612,1.559428799855283,1.4157840387728156,7650532.84,3707.568696599063,1965.392,4.214901848247927
2014-10-04 16:49:50,2130.89,2039.3,2051.19,1.144993493872425,1.4736747170652489,1.300310763167038,7651969.88,2609.801083096206,1962.864,4.534285276853147
2014-10-04 16:49:51,2131.03,2038.95,2051.66,1.4031350180178586,1.35120597088597,1.3723091208733516,7647508.96,1519.904396116186,1970.704,3.663614648015907
2014-10-04 16:49:52,2131.31,2038.87,2051.19,1.1950656125008274,1.360741034001751,1.0317681205316434,7656365.48,2320.135989548956,1970.38,8.892689114026147
2014-10-04 16:49:53,2130.94,2038.69,2051.73,1.3840359661348667,1.4473591416260536,1.144640563758845,7650613.08,2687.0357105918233,1967.548,5.963046847950034
2014-10-04 16:49:54,2131.41,2038.93,2051.77,1.1984417492153698,1.379906306290898,1.1621557815569215,7648893.36,3099.787450777938,1971.784,7.069459173943237
2014-10-04 16:49:55,2130.86,2039.43,2050.85,1.1283312071956015,1.6345697237555201,1.0766108438480515,7656361.36,1967.7318347103662,1969.804,9.4208595349639
2014-10-04 16:49:56,2130.93,2039.09,2051.51,1.4231491613157343,1.498113291558248,1.2512216252748483,7648481.8,1848.1256721331276,1969.464,5.758937876192866
2014-10-04 16:49:57,2130.93,2039.55,2051.63,1.2247861078983968,1.1135075167680746,1.8837690565952834,7651330.6,3737.2940299990546,1974.168,3.7635666242197217
2014-10-04 16:49:58,2130.97,2039.35,2051.08,1.1142329879854087,1.2175069742401194,1.3460004352588808,7653069.32,2109.6961218781257,1960.124,5.599467846201119
2014-10-04 16:49:59,2131.03,2038.99,2051.72,1.25089866685814,1.4106019919871349,1.2478668667658548,7648074.52,728.6651105501977,1967.748,4.431143886693178
2014-10-04 16:50:00,2130.88,2039.29,2051.39,1.2083881910221403,1.2736252243581563,1.2463684621468738,7654128.6,2909.529128570602,1973.92,4.838101788476619
2014-10-04 16:50:01,2130.82,2039.19,2051.39,1.3808210118140285,1.6859191061030427,1.4900003389603633,7651598.56,2819.8627342474433,1934.088,59.72305777940428
2014-10-04 16:50:02,2131.03,2037.94,2050.82,1.234643039239783,1.4621141466307133,1.3286280612917698,7647217.8,518.3827414819673,2040.372,64.70285506695433
