,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
202,2,2,,155000,"65 Hampton Green, Balbriggan, Co. Dublin",Semi-D,no,33
203,3,2,,240000,"Apartment 40, Palmerstown Square, Palmerstown, Dublin 20",Apartment,no,33
204,5,3,,120000,"Cloonmullen, Loughglynn, Co. Roscommon",Detached,no,33
205,3,1,,265000,"12 Sylvan Lawns, Kilcoole, Co. Wicklow",Semi-D,no,33
206,2,1,,210000,"Apartment 54, Moynihan Court, Tallaght, Dublin 24",Apartment,no,33
207,2,2,,115000,"Apartment 152 D, Crann Nua, Edenderry Road, Portarlington, Co. Laois",Apartment,no,33
208,2,1,,110000,"Knockahoppel (Folio TY35514), Curreeney, Kilcommon, Thurles, Co. Tipperary",Detached,no,33
209,2,1,,265000,"3 Beechfield Heights, Castaheany, Dublin 15",Terrace,no,33
210,3,2,,160000,"8 Beechview, Churchfield, Castlemagner, Co. Cork",Semi-D,no,33
211,2,1,,190000,"Apartment 97, Applewood, Main Street, Swords, Co. Dublin",Apartment,no,33
212,2,1,,155000,"Apartment 49, Barrons Hall, Balbriggan, Co. Dublin",Apartment,no,33
213,1,1,,160000,"Apartment 143, The Maltings, Bonham Street, Dublin 8",Apartment,no,33
214,4,3,,225000,"20 Chestnut Avenue, Ard Na Sidhe, Clonmel, Co. Tipperary",Semi-D,no,33
215,3,2,,205000,"85 Edgeworth Court, Longwood, Co. Meath",Semi-D,no,33
216,3,2,,270000,"45 Belmont Park, Ballinlough, Cork City, Co. Cork",Semi-D,no,33
217,3,1,,510000,"42 Percy Lane, Ballsbridge, Dublin 4",Semi-D,no,33
218,4,2,,270000,"Coolroe, Gorey, Co. Wexford",Detached,no,33
219,2,1,,295000,"76 Knightsbrook Crescent, Trim, Co. Meath",Terrace,no,33
220,2,1,75.0,135000,"Coolabaun, Mohill, Co. Leitrim",Semi-D,no,33
221,3,2,,185000,"17 Bective Walk, Bective Lodge, Kilmessan, Co. Meath",Terrace,no,33
222,2,2,,65000,"Apartment 47, Mac Oisin Place, Dromod, Co. Leitrim",Apartment,no,34
223,3,1,76.0,180000,"24 Drive 2, Muirhevnamore, Dundalk, Co. Louth",Semi-D,no,34
224,5,4,250.0,675000,"Sycamore House, Nicholastown, Kilcock, Co. Kildare",Detached,no,34
225,3,3,98.0,199950,"8 Corkhill, Kinnegad, Co. Westmeath",Detached,no,34
226,6,2,232.0,430000,"Aggard, Craughwell, Co. Galway",Detached,no,34
227,2,1,52.0,190000,"Apartment 6, Lee Vista, Cork City, Co. Cork",Apartment,no,34
