,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
63,4,3,160.0,845000,"21 Sleepy Hollow, Kinsealy Lane, Malahide, Co. Dublin",Bungalow,no,3
64,2,1,50.0,265000,"The Penthouse, The Penthouse1 Alexandra Place, Cork City, Co. Cork",Apartment,no,3
65,3,1,84.0,315000,"16 Belfield Park, Ennis Road, Ennis Road, Co. Limerick",Semi-D,no,3
66,6,4,328.0,495000,"Glen Ross, Ballydunlea, Tralee, Co. Kerry",Detached,no,3
67,4,3,111.0,325000,"1 Orchard Manor, Riverstown, Glanmire, Co. Cork",Semi-D,no,3
68,5,3,264.0,895000,"Donerea, Balscadden, Balbriggan, Co. Dublin",Detached,no,3
69,3,1,135.0,335000,"Pinegrove, Carhoo, Rathpeacon, Co. Cork",Detached,no,3
70,6,4,418.0,Price on Application,"Ballyloughbeg, Woodstown, Co. Waterford",Detached,no,3
71,4,2,199.0,545000,"Saint Bernadette's, Stamullen Road, Gormanston, Co. Meath",Detached,no,3
72,4,3,380.0,975000,"Stormont House, Coolbawn, Castleconnell, Co. Limerick",Detached,no,3
73,3,2,,279000,"3 Old Golf Links Road, Oakpark, Tralee, Co. Kerry",Semi-D,no,3
74,4,3,208.0,690000,"Lecanvey, Murrisk, Westport, Co. Mayo",Detached,no,3
75,6,4,270.0,645000,"Tankardstown, Clonalvy, Co. Meath",Detached,no,3
76,2,3,76.0,225000,"96A Renville Village, Oranmore, Co. Galway",Semi-D,no,3
77,3,1,118.0,275000,"Clonlee, 29 Páirc Na Dún, Tralee, Co. Kerry",Detached,no,3
78,2,1,69.0,219000,"32 An Mhainistir, Lakeview, Claregalway, Co. Galway",Semi-D,no,3
79,4,2,155.0,275000,"6 Glentaun Close, Creagh, Ballinasloe, Co. Galway",Detached,no,3
80,4,3,192.0,350000,"Deerpark, Mountrath, Co. Laois",Detached,no,4
81,6,4,418.0,1350000,"5 Woodbrook, Rochestown Road, Rochestown, Co. Cork",Detached,no,4
82,3,3,153.0,425000,"2 Rent An Irish Cottage, Ballyvaughan, Co. Clare",Detached,no,4
83,3,3,137.0,375000,"Four Trees, Kilcully, White's Cross, Co. Cork",Detached,no,4
84,4,2,286.0,2495000,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",Detached,no,4
85,4,3,2324.0,375000,"Tullywicky, Woodlawn, Ballinasloe, Co. Galway",Detached,no,4
86,3,4,238.0,750000,"Bawnlahan, Tragumna, Skibbereen, Co. Cork",Detached,no,4
87,3,3,105.0,255000,"21 The Green, Clonattin Village, Gorey, Co. Wexford",Terrace,no,4
88,4,1,,349000,"Srah Road, Tullamore, Co. Offaly",Bungalow,no,4
89,6,6,422.0,1350000,"Chatsfort, Newtown, Waterford City, Co. Waterford",Detached,no,4
90,4,3,198.0,425000,"Toberleheen, Tullamore, Co. Offaly",Detached,no,4
91,5,2,176.0,720000,"Innisfail, Blackrock, Co. Louth",Detached,no,4
92,3,1,96.0,185000,"Bailys Lodge, Lissacarrow, Fuerty, Co. Roscommon",Detached,no,4
93,6,3,260.0,450000,"Kilcreevanty, Tuam, Co. Galway",Detached,no,4
94,4,3,256.0,895000,"Carrigkea, Burnaby Heights, Greystones, Co. Wicklow",Detached,no,4
95,4,2,,299000,"Chequer Hill, Dunmore, Co. Galway",Detached,no,4
96,4,4,201.0,340000,"2 Lios Na Gaoithe, Lisryan, Co. Longford",Detached,no,4
97,3,2,100.0,250000,"120 Clonattin Village, Gorey, Co. Wexford",Semi-D,no,4
98,4,4,260.0,475000,"Kilbeg, Headford, Co. Galway",Detached,no,4
99,4,2,154.0,875000,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",Detached,no,4
100,4,4,385.0,1250000,"Reagrove, Minane Bridge, Kinsale, Co. Cork",Detached,no,5
101,4,1,97.0,348000,"59 Esker Park, Lucan, Co. Dublin",Semi-D,no,5
102,4,2,156.0,280000,"Toneymore, Abbeylara, Co. Longford",Detached,no,5
103,3,2,167.0,225000,"Mullinroe, Dring, Co. Longford",Detached,no,5
104,3,2,,Price on Application,"4 Old Golf Links Road, Oakpark, Tralee, Co. Kerry",Semi-D,no,5
105,2,2,70.0,195000,"43 Cois Ghrúda, Castletroy, Co. Limerick",Apartment,no,5
106,4,4,126.0,235000,"6 Lansdowne Close, Portarlington, Co. Laois",Semi-D,no,5
107,4,4,227.0,425000,"Heney, Cavan, Co. Cavan",Detached,no,5
108,4,4,255.0,425000,"Garryhinch, Portarlington, Co. Offaly",Detached,no,5
109,10,10,297.0,1350000,"Castle Lodge Auburn, Back Road, Malahide, Co. Dublin",Detached,no,5
110,6,5,595.0,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",Semi-D,no,5
111,3,1,87.0,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",Semi-D,no,5
112,3,2,102.0,250000,"Sheafield, Gowran, Co. Kilkenny",Detached,no,5
113,4,3,223.0,465000,"Grallagh, Loughrea, Co. Galway",Detached,no,5
114,2,2,104.0,325000,"Mount Carmel, 48 Gardiners Hill, Montenotte, Co. Cork",Terrace,no,5
115,3,2,112.0,150000,"Turner's Hill, Kingscourt, Co. Cavan",Terrace,no,5
116,4,3,125.0,495000,"19 Marlton Hall, Wicklow Town, Co. Wicklow",Detached,no,5
117,2,2,76.0,195000,"Apartment 4, The Square, Killegland Street, Ashbourne, Co. Meath",Apartment,no,5
118,3,1,,119000,"Ritavilla, Turner's Hill, Kingscourt, Co. Cavan",Detached,no,5
119,3,1,80.0,450000,"16 Mountain View Drive, Churchtown, Dublin 14",Terrace,no,5
120,5,4,210.0,975000,"20 Fairway Drive, Cualanor, Dun Laoghaire, Co. Dublin",Terrace,no,6
121,2,1,74.0,275000,"2 Hamilton Hall, Dunboyne, Co. Meath",Apartment,no,6
122,2,1,46.0,159000,"10 O'Connell Street, Blackpool, Co. Cork",Terrace,no,6
123,4,3,137.0,765000,"36 The Terrace, Robswall, Malahide, Co. Dublin",Semi-D,no,6
124,6,3,341.0,2800000,"4 Willow Bank, Monkstown, Co. Dublin",Semi-D,no,6
125,5,2,220.0,450000,"'Foxfield' Davidstown, Slieveure, Waterford City, Co. Waterford",Detached,no,6
126,4,3,180.0,875000,"5 Parnell Cottages, Malahide, Co. Dublin",Semi-D,no,6
127,4,2,218.0,299000,"28 Main Street, Kingscourt, Co. Cavan",Terrace,no,6
128,2,2,75.0,280000,"22 Village Court, Upper Patrick Street, Kilkenny, Co. Kilkenny",Apartment,no,6
129,3,3,,255000,"64B Edgeworth Court, Longwood, Co. Meath",Semi-D,no,6
130,4,1,134.0,650000,"2 Saint Philomena's Road, Glasnevin, Glasnevin, Dublin 11",Terrace,no,6
131,4,4,246.0,695000,"Huntington Lodge, Huntington, Bennettsbridge Road, Bennettsbridge, Co. Kilkenny",Detached,no,6
132,4,2,95.0,295000,"Greatmeadow, Boyle, Co. Roscommon",Detached,no,6
133,2,2,77.0,215000,"11 Woodview, Castlebridge, Co. Wexford",Semi-D,no,6
134,2,2,82.0,195000,"22 The Estuary, Redmond Road, Wexford Town, Co. Wexford",End of Terrace,no,6
135,3,2,,299000,"79 Beechmount, Green Road, Newbridge, Co. Kildare",Semi-D,no,6
136,3,3,,325000,"94 Evanwood, Golf Links Road, Castletroy, Co. Limerick",Semi-D,no,6
137,3,2,90.0,195000,"44 Shingán, Milehouse Road, Enniscorthy, Co. Wexford",Semi-D,no,6
138,3,4,180.0,750000,"28 The Quarry, Portmarnock, Co. Dublin",Semi-D,no,6
139,4,3,125.0,215000,"Knockshanvalley, Straide, Foxford, Co. Mayo",Detached,no,6
140,3,2,98.0,325000,"Apartment 5, Riverbank House, Kilkenny, Co. Kilkenny",Apartment,no,7
141,3,2,146.0,995000,"44 Shrewsbury Park, Ballsbridge, Dublin 4",Semi-D,no,7
142,3,3,92.0,285000,"42 Willow Green, Athlumney Wood, Navan, Co. Meath",Semi-D,no,7
143,2,1,67.0,365000,"27 The Maltings, Bray, Co. Wicklow",Terrace,no,7
144,4,1,120.0,275000,"13 John's Quay, Kilkenny, Co. Kilkenny",Terrace,no,7
145,3,2,99.0,350000,"51 Whitethorn Crescent, Palmerstown, Dublin 20",Semi-D,no,7
146,3,3,92.0,380000,"4 Lakelands Gardens, Crawford Gate, Blackrock, Co. Cork",Terrace,no,7
147,4,4,186.0,695000,"Derrynane, Hazelhatch Road, Newcastle, Co. Dublin",Detached,no,7
148,5,5,520.0,3950000,"106 Merrion Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",Detached,no,7
149,3,2,,315000,"4 Station Close, Clondalkin, Clondalkin, Dublin 22",Terrace,no,7
150,4,3,140.0,275000,"19 Brookville, Mullagh, Co. Cavan",Detached,no,7
