Time,HR,BR,Posture,Activity,PeakAccel,BatteryLevel,ECGAmplitude,ECGNoise,HRConfidence,ROGState,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak
2014-10-02 06:22:16.428,65,6553.5,-53,0.14,0.2,94,0.0,4e-05,0,0,-0.61,-0.55,0.85,0.93,0.08,0.18
2014-10-02 06:22:17.428,65,6553.5,-54,0.08,0.12,94,0.0,2e-05,0,0,-0.62,-0.56,0.85,0.93,0.09,0.19
2014-10-02 06:22:18.428,65,6553.5,-55,0.04,0.08,94,6e-05,2e-05,0,0,-0.62,-0.57,0.85,0.93,0.06,0.14
2014-10-02 06:22:19.428,65,6553.5,-56,0.06,0.16,94,6e-05,2e-05,0,0,-0.62,-0.45,0.8,1.01,-0.01,0.24
2014-10-02 06:22:20.428,65,6553.5,-57,0.1,0.25,94,4e-05,2e-05,0,0,-0.72,-0.33,0.78,1.13,-0.14,0.2
2014-10-02 06:22:21.428,65,6553.5,-71,0.48,1.1,94,4e-05,2e-05,0,0,-0.66,0.5,0.1,1.2,0.1,0.8
2014-10-02 06:22:22.428,65,6553.5,-85,1.11,1.51,94,4e-05,2e-05,0,0,-0.2,0.89,-0.73,0.31,0.61,1.01
2014-10-02 06:22:23.428,0,6553.5,-71,0.84,1.04,94,0.0008,2e-05,0,0,-0.42,-0.21,-0.83,-0.67,0.48,0.65
2014-10-02 06:22:24.428,0,6553.5,-69,0.43,0.53,94,0.0008,2e-05,0,0,-0.42,-0.26,-0.74,-0.62,0.55,0.66
2014-10-02 06:22:25.428,0,6553.5,-65,0.27,0.77,94,0.0008,2e-05,0,0,-0.91,-0.34,-0.69,0.32,0.45,1.15
2014-10-02 06:22:26.428,0,6553.5,-57,0.81,1.08,94,0.0008,2e-05,0,0,-1.01,0.02,-0.92,0.07,-0.46,0.61
2014-10-02 06:22:27.428,0,6553.5,64,0.56,0.77,94,0.0008,2e-05,0,0,-0.5,-0.12,-0.86,-0.59,-0.55,-0.27
2014-10-02 06:22:28.428,0,5.9,54,0.68,1.3,93,0.0008,2e-05,0,0,-0.54,-0.21,-0.67,0.93,-0.91,-0.42
2014-10-02 06:22:29.428,0,6553.5,35,0.83,0.95,93,0.0008,2e-05,0,0,-0.83,-0.46,0.51,0.77,-0.54,0.19
2014-10-02 06:22:30.428,0,6553.5,-4,0.78,0.92,93,0.0008,2e-05,0,0,-0.95,-0.77,-0.44,0.73,0.22,0.68
2014-10-02 06:22:31.428,0,6553.5,-11,0.54,1.13,93,0.0008,2e-05,0,0,-1.04,-0.27,-0.5,0.69,-0.86,0.59
2014-10-02 06:22:32.428,0,6553.5,33,0.81,0.96,93,0.0008,2e-05,0,0,-0.68,-0.24,0.49,0.95,-0.74,-0.02
2014-10-02 06:22:33.428,0,6553.5,40,0.36,0.62,93,0.0008,2e-05,0,0,-1.01,-0.42,0.45,0.65,-0.9,0.02
2014-10-02 06:22:34.428,0,6553.5,44,0.23,0.44,93,0.0008,2e-05,0,0,-0.86,-0.21,0.4,0.86,-0.81,-0.21
2014-10-02 06:22:35.428,0,6553.5,52,0.28,0.42,93,0.0008,2e-05,0,0,-0.74,-0.38,0.49,1.09,-0.79,-0.32
2014-10-02 06:22:36.428,0,6553.5,57,0.33,3.06,93,0.0008,2e-05,0,0,-1.19,0.28,-3.16,1.38,-2.66,0.18
2014-10-02 06:22:37.428,0,6553.5,37,0.94,1.24,93,0.0008,2e-05,0,0,-1.39,-0.36,-0.8,0.19,-1.83,-0.1
2014-10-02 06:22:38.428,0,6553.5,40,0.41,1.19,93,0.0008,2e-05,0,0,-1.61,-0.51,-0.45,0.65,-1.44,-0.28
2014-10-02 06:22:39.428,0,6553.5,40,0.22,0.57,93,0.0008,2e-05,0,0,-1.08,-0.33,0.2,0.86,-0.84,-0.4
2014-10-02 06:22:40.428,0,6553.5,60,0.58,0.83,93,0.0008,2e-05,0,0,-0.45,0.22,0.32,1.37,-1.01,-0.43
2014-10-02 06:22:41.428,0,4.9,80,0.53,0.83,93,0.0008,2e-05,0,0,0.06,0.79,0.09,0.97,-0.8,-0.42
2014-10-02 06:22:42.428,0,4.8,94,0.38,0.85,93,0.0008,2e-05,0,3,0.07,0.95,0.26,1.06,-1.2,-0.21
2014-10-02 06:22:43.428,0,4.8,95,0.44,1.14,93,0.0008,2e-05,0,3,-0.85,0.46,0.39,1.18,-1.08,0.03
2014-10-02 06:22:44.428,0,4.7,86,0.34,2.08,93,0.0008,2e-05,0,3,-0.43,-0.04,0.71,3.98,-0.56,-0.13
2014-10-02 06:22:45.428,0,4.7,76,0.43,1.27,93,0.0008,2e-05,0,3,-1.07,-0.04,-0.44,1.56,-1.12,0.03
2014-10-02 06:22:46.428,0,4.6,77,0.85,1.46,93,0.0008,4e-05,0,3,-0.3,0.51,-0.97,0.67,-1.25,-0.07
2014-10-02 06:22:47.428,0,4.6,79,0.92,1.46,93,0.0008,2e-05,0,3,-0.3,0.51,-0.97,0.67,-1.25,-0.07
2014-10-02 06:22:48.428,0,4.5,89,0.49,1.08,93,0.0008,2e-05,0,3,-0.1,0.19,-0.87,-0.63,-0.69,-0.34
2014-10-02 06:22:49.428,0,4.5,92,0.26,0.56,93,0.0008,2e-05,0,3,-0.03,0.15,-0.89,-0.66,-0.51,-0.4
2014-10-02 06:22:50.428,0,4.4,96,0.13,0.26,93,0.0008,2e-05,0,3,0.03,0.15,-0.79,-0.68,-0.53,-0.46
2014-10-02 06:22:51.428,0,4.4,100,0.24,0.53,93,0.0008,2e-05,0,0,0.02,0.45,-1.19,-0.62,-0.54,-0.12
2014-10-02 06:22:52.428,0,4.4,107,0.24,0.51,93,0.0008,2e-05,0,0,-0.01,0.67,-0.98,-0.57,-0.46,-0.01
2014-10-02 06:22:53.428,0,4.4,109,0.15,0.27,93,0.0008,2e-05,0,0,0.33,0.48,-0.9,-0.68,-0.3,-0.12
2014-10-02 06:22:54.428,0,4.6,110,0.15,0.21,93,0.0008,2e-05,0,0,0.16,0.5,-0.92,-0.71,-0.32,-0.1
2014-10-02 06:22:55.428,0,4.6,113,0.22,0.3,93,0.0008,2e-05,0,0,0.15,0.49,-1.06,-0.51,-0.5,-0.1
2014-10-02 06:22:56.428,0,4.7,111,0.08,0.37,93,0.0008,2e-05,0,0,0.32,0.61,-0.93,-0.5,-0.55,-0.31
2014-10-02 06:22:57.428,0,4.7,105,0.24,0.33,93,0.0008,4e-05,0,0,0.08,0.33,-0.92,-0.59,-0.62,-0.24
2014-10-02 06:22:58.428,0,5.0,101,0.2,0.62,93,0.0008,2e-05,0,0,-0.04,0.28,-1.04,-0.06,-0.95,-0.04
2014-10-02 06:22:59.428,0,5.0,98,0.39,0.42,93,0.0008,2e-05,0,0,-0.13,0.21,-1.03,-0.27,-0.81,-0.13
2014-10-02 06:23:00.428,0,5.3,-98,1.1,2.12,93,0.0008,2e-05,0,3,-0.51,0.73,-3.71,0.54,-1.21,2.02
2014-10-02 06:23:01.428,0,5.3,-102,0.57,1.32,93,0.0008,2e-05,0,3,-0.16,0.43,-0.5,0.21,0.48,1.4
2014-10-02 06:23:02.428,0,5.5,-94,0.47,0.71,93,0.0008,2e-05,0,3,-0.24,0.42,-0.62,0.08,0.6,1.3
2014-10-02 06:23:03.428,0,5.5,-87,0.96,1.3,93,0.0008,0.00128,0,3,-1.03,0.62,-1.71,-0.1,-0.53,1.09
2014-10-02 06:23:04.428,0,5.8,83,1.01,1.89,93,0.0008,0.00128,0,3,-0.54,0.27,-1.02,0.6,-1.8,-0.36
2014-10-02 06:23:05.428,0,5.8,89,0.55,1.62,93,0.0008,0.001,0,3,-0.36,0.18,-0.24,0.57,-1.8,-0.66
2014-10-02 06:23:06.428,0,6.0,89,0.3,0.65,93,0.0008,0.00062,0,3,-0.16,0.14,-0.13,0.27,-1.2,-0.75
2014-10-02 06:23:07.428,0,6.0,89,0.19,0.39,93,0.0008,0.00044,0,3,-0.15,0.18,-0.1,0.25,-1.19,-0.75
2014-10-02 06:23:08.428,0,6.2,91,0.13,0.32,93,0.0008,0.0003,0,0,-0.24,0.15,-0.06,0.24,-1.09,-0.83
2014-10-02 06:23:09.428,73,6.2,90,0.2,0.43,93,0.0008,0.00066,0,3,-0.26,0.18,-0.34,0.48,-1.42,-0.78
2014-10-02 06:23:10.428,77,6.4,90,0.15,0.32,93,0.00714,0.0004,0,0,-0.19,0.18,-0.22,0.31,-1.16,-0.78
2014-10-02 06:23:11.428,79,6.4,90,0.17,0.33,93,0.00714,0.00028,0,0,-0.2,0.33,-0.18,0.31,-1.25,-0.6
2014-10-02 06:23:12.428,79,6.6,87,0.32,0.9,93,0.00416,0.00174,0,0,-0.42,0.16,-0.73,0.45,-1.61,0.0
2014-10-02 06:23:13.428,80,6.6,77,0.93,1.24,93,0.00416,0.00118,0,0,-0.86,0.27,-0.65,1.22,-1.32,-0.01
2014-10-02 06:23:14.428,80,7.2,50,0.82,2.02,93,0.00342,0.00056,0,0,-1.01,0.02,0.37,2.36,-0.32,0.56
2014-10-02 06:23:15.428,80,7.2,27,0.55,0.98,93,0.00342,0.00026,0,0,-1.54,-0.74,0.07,0.69,-0.1,0.43
2014-10-02 06:23:16.428,77,7.6,-16,0.34,0.68,93,0.00342,0.00022,0,1,-1.18,-0.97,-0.02,0.24,-0.12,0.59
2014-10-02 06:23:17.428,80,7.6,-12,0.19,0.39,93,0.00342,0.0001,0,1,-1.27,-0.97,0.07,0.31,-0.15,0.48
2014-10-02 06:23:18.428,81,8.1,-13,0.09,0.24,93,0.00342,4e-05,0,0,-1.09,-0.98,0.1,0.25,0.02,0.32
2014-10-02 06:23:19.428,82,8.1,-13,0.06,0.18,93,0.00342,2e-05,0,0,-1.12,-0.96,0.1,0.27,0.06,0.33
2014-10-02 06:23:20.428,82,8.5,-12,0.12,0.26,92,0.0,0.0,0,0,-1.15,-0.95,0.04,0.26,-0.07,0.42
2014-10-02 06:23:21.428,82,8.5,-10,0.09,0.2,92,0.0,0.0,0,0,-1.18,-1.0,-0.06,0.15,0.0,0.28
2014-10-02 06:23:22.428,82,8.6,-11,0.11,0.22,92,0.0,0.0,0,0,-1.15,-0.97,-0.07,0.21,-0.1,0.37
2014-10-02 06:23:23.428,82,8.6,-12,0.06,0.16,92,0.0,0.0,0,0,-1.1,-0.98,0.01,0.21,0.13,0.38
2014-10-02 06:23:24.428,82,8.7,-15,0.09,0.15,92,0.0,0.0,0,0,-1.04,-0.97,0.08,0.24,0.2,0.39
2014-10-02 06:23:25.428,82,8.7,-16,0.04,0.1,92,0.0,0.0,0,0,-1.06,-0.98,0.06,0.2,0.26,0.37
2014-10-02 06:23:26.428,82,8.8,-15,0.06,0.36,92,0.0,0.0,0,0,-1.13,-0.79,-0.03,0.24,-0.26,0.36
2014-10-02 06:23:27.428,0,8.8,-12,0.09,0.24,92,0.0008,0.0,0,0,-1.22,-0.97,-0.01,0.16,-0.01,0.39
2014-10-02 06:23:28.428,0,7.9,-11,0.11,0.34,92,0.0008,0.0,0,0,-1.37,-0.68,-0.03,0.18,-0.02,0.43
2014-10-02 06:23:29.428,0,7.9,-12,0.04,0.09,92,0.0008,0.00022,0,0,-1.1,-1.0,-0.04,0.06,0.19,0.27
2014-10-02 06:23:30.428,0,7.1,-11,0.1,0.28,92,0.0008,0.00028,0,0,-1.34,-0.98,-0.07,0.09,-0.03,0.38
2014-10-02 06:23:31.428,60,7.1,-10,0.2,0.5,92,0.0008,0.00028,0,0,-1.55,-0.81,-0.18,0.25,-0.15,0.42
2014-10-02 06:23:32.428,68,6.4,-10,0.16,0.39,92,0.00192,0.00032,0,0,-1.46,-0.72,-0.1,0.32,-0.09,0.45
2014-10-02 06:23:33.428,76,6.4,-8,0.22,0.6,92,0.00192,0.0003,0,1,-1.62,-0.78,-0.1,0.26,-0.14,0.42
2014-10-02 06:23:34.428,80,5.8,-8,0.2,0.53,92,0.00192,0.00028,13,1,-1.53,-0.8,-0.13,0.37,-0.25,0.36
2014-10-02 06:23:35.428,81,5.8,-6,0.19,0.53,92,0.00192,0.0002,18,1,-1.66,-0.84,-0.2,0.16,-0.04,0.44
2014-10-02 06:23:36.428,81,5.5,-5,0.09,0.25,92,0.00212,0.00028,24,1,-1.13,-1.0,-0.25,0.06,-0.04,0.15
2014-10-02 06:23:37.428,80,5.5,-6,0.08,0.15,92,0.00212,0.0002,23,1,-1.08,-1.0,0.0,0.1,0.01,0.21
2014-10-02 06:23:38.428,79,5.6,-6,0.04,0.07,92,0.0019,0.00014,22,1,-1.08,-1.01,0.03,0.09,0.08,0.18
2014-10-02 06:23:39.428,79,5.6,-8,0.08,0.19,92,0.0019,0.00012,21,1,-1.22,-0.95,-0.12,0.09,0.09,0.26
2014-10-02 06:23:40.428,77,5.6,-7,0.11,0.22,92,0.00172,0.00014,31,1,-1.26,-0.89,-0.21,0.09,0.02,0.28
2014-10-02 06:23:41.428,77,5.6,-3,0.23,0.49,92,0.00172,0.00016,39,1,-1.49,-0.84,-0.14,0.28,-0.27,0.27
2014-10-02 06:23:42.428,78,6.2,-3,0.21,0.54,92,0.00172,0.00016,35,1,-1.46,-0.84,-0.1,0.31,-0.49,0.26
2014-10-02 06:23:43.428,79,6.2,-4,0.2,0.4,92,0.00172,0.00084,31,1,-1.42,-0.81,-0.22,0.2,-0.34,0.37
2014-10-02 06:23:44.428,80,6.8,-1,0.17,0.43,92,0.00172,0.00102,28,1,-1.27,-0.84,-0.19,0.07,-0.43,0.33
2014-10-02 06:23:45.428,80,6.8,4,0.16,0.39,92,0.00172,0.00092,24,1,-1.16,-0.89,-0.09,0.09,-0.44,0.09
2014-10-02 06:23:46.428,80,7.6,19,0.44,0.6,92,0.00172,0.00078,21,1,-0.98,-0.66,-0.37,-0.03,-0.69,-0.13
2014-10-02 06:23:47.428,80,7.6,15,0.23,0.42,92,0.00172,0.00054,19,1,-1.08,-0.77,-0.36,-0.12,-0.59,0.18
2014-10-02 06:23:48.428,81,8.4,7,0.28,0.42,92,0.00172,0.00042,17,1,-1.15,-0.91,-0.18,0.07,-0.04,0.27
2014-10-02 06:23:49.428,82,8.4,-5,0.17,0.34,92,0.00172,0.00034,26,1,-1.25,-0.9,-0.22,0.09,0.01,0.25
2014-10-02 06:23:50.428,83,9.0,-6,0.13,0.22,92,0.00168,0.00026,35,1,-1.14,-0.97,-0.14,0.09,0.06,0.3
2014-10-02 06:23:51.428,82,9.0,-6,0.07,0.16,92,0.00168,0.0002,43,1,-1.19,-0.96,-0.14,0.02,-0.01,0.2
2014-10-02 06:23:52.428,80,9.6,-6,0.08,0.14,92,0.00168,0.00022,50,1,-1.1,-1.0,-0.06,0.07,0.03,0.25
2014-10-02 06:23:53.428,79,9.6,-8,0.07,0.14,92,0.00168,0.00024,57,1,-1.14,-1.0,-0.07,0.09,0.06,0.26
2014-10-02 06:23:54.428,78,10.4,-4,0.19,0.55,92,0.00226,0.0003,62,1,-1.18,-0.92,-0.1,0.22,-0.4,0.33
2014-10-02 06:23:55.428,75,10.4,-5,0.18,0.42,92,0.00226,0.00036,67,1,-1.32,-0.84,-0.09,0.2,-0.3,0.36
2014-10-02 06:23:56.428,80,11.1,-8,0.18,0.43,92,0.00226,0.00038,71,1,-1.19,-0.92,-0.12,0.26,-0.26,0.53
2014-10-02 06:23:57.428,81,11.1,-5,0.12,0.38,92,0.00226,0.00114,62,1,-1.24,-0.89,-0.09,0.15,-0.32,0.26
2014-10-02 06:23:58.428,82,11.9,-5,0.15,1.37,92,0.00226,0.00142,55,1,-1.69,-0.92,-0.07,2.13,-0.18,0.62
2014-10-02 06:23:59.428,83,11.9,-7,0.09,0.2,92,0.00226,0.0011,48,1,-1.22,-0.89,-0.08,0.15,0.0,0.26
2014-10-02 06:24:00.428,83,10.7,-8,0.14,0.54,92,0.00226,0.00084,42,1,-1.34,-0.96,-0.14,0.14,-0.37,0.36
2014-10-02 06:24:01.428,84,10.7,-6,0.25,0.62,92,0.00226,0.00088,37,1,-1.62,-0.79,-0.2,0.21,-0.25,0.54
2014-10-02 06:24:02.428,85,9.9,-8,0.19,0.32,92,0.00216,0.00076,32,1,-1.38,-0.8,-0.22,0.15,-0.14,0.37
2014-10-02 06:24:03.428,86,9.9,-10,0.17,0.43,92,0.00216,0.0006,28,1,-1.49,-0.81,-0.31,0.02,-0.09,0.46
2014-10-02 06:24:04.428,86,9.5,-6,0.23,0.59,92,0.00216,0.0005,25,1,-1.39,-0.85,-0.14,0.15,-0.45,0.33
2014-10-02 06:24:05.428,86,9.5,-8,0.13,0.21,92,0.00216,0.00044,30,1,-1.2,-0.9,-0.24,0.07,-0.02,0.25
2014-10-02 06:24:06.428,86,9.5,-7,0.17,0.36,92,0.00216,0.0004,31,1,-1.18,-0.96,-0.21,0.3,-0.04,0.25
2014-10-02 06:24:07.428,86,9.5,-9,0.22,0.27,92,0.00216,0.00038,33,1,-1.28,-0.93,0.13,0.27,-0.02,0.33
2014-10-02 06:24:08.428,85,9.7,-10,0.12,0.2,92,0.00266,0.00038,41,1,-1.16,-0.92,0.01,0.27,0.02,0.38
2014-10-02 06:24:09.428,83,9.7,-12,0.08,0.16,92,0.00266,0.00034,49,1,-1.09,-0.97,-0.03,0.13,0.14,0.38
2014-10-02 06:24:10.428,82,10.3,-12,0.06,0.16,92,0.00256,0.00034,55,1,-1.12,-1.0,-0.09,0.08,0.14,0.31
2014-10-02 06:24:11.428,82,10.3,-13,0.03,0.07,92,0.00256,0.00032,61,1,-1.07,-0.98,-0.02,0.09,0.22,0.31
2014-10-02 06:24:12.428,83,10.7,-13,0.02,0.07,92,0.0026,0.00034,65,1,-1.07,-0.98,-0.01,0.07,0.21,0.32
2014-10-02 06:24:13.428,84,10.7,-14,0.07,0.15,92,0.0026,0.00028,70,1,-1.07,-1.0,-0.15,0.06,0.19,0.34
2014-10-02 06:24:14.428,84,11.5,-10,0.16,0.34,92,0.00186,0.00018,74,1,-1.39,-0.84,-0.26,0.08,0.0,0.25
2014-10-02 06:24:15.428,85,11.5,-9,0.16,0.38,92,0.00186,0.0002,77,1,-1.36,-0.8,-0.21,0.19,-0.19,0.31
2014-10-02 06:24:16.428,86,12.4,-8,0.19,0.48,92,0.00222,0.0002,80,1,-1.42,-0.73,-0.25,0.18,-0.32,0.4
2014-10-02 06:24:17.428,87,12.4,-6,0.24,0.63,92,0.00222,0.00026,82,1,-1.72,-0.79,-0.15,0.36,-0.26,0.25
2014-10-02 06:24:18.428,87,13.3,-6,0.22,0.42,92,0.00204,0.00034,84,1,-1.49,-0.84,-0.12,0.31,-0.2,0.37
2014-10-02 06:24:19.428,87,13.3,-6,0.15,0.46,92,0.00204,0.0003,86,1,-1.55,-0.85,-0.1,0.1,-0.13,0.3
2014-10-02 06:24:20.428,88,14.3,-1,0.16,0.2,92,0.00246,0.00028,86,1,-1.1,-0.98,-0.1,0.19,-0.15,0.07
