Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
03/10/2014 21:45:56.444,87,9.9,-3276.8,4,0.11,0.20,3.757,26,1011.000,65535.000,255,0.004660,0.000180,100,74,100,65535,1,386,-1.09,-0.97,-0.08,0.22,-0.18,0.02,30.8,0,255,-128,-128,37.4,410,424,504
03/10/2014 21:45:57.444,87,9.9,-3276.8,4,0.08,0.14,3.757,26,874.000,65535.000,255,0.004660,0.000300,100,70,100,65535,1,387,-1.10,-0.98,-0.03,0.18,-0.14,0.06,30.8,0,255,-128,-128,37.4,420,435,507
03/10/2014 21:45:58.444,85,9.3,-3276.8,9,0.18,0.25,3.757,26,764.000,65535.000,255,0.004680,0.000300,100,68,100,65535,1,388,-1.13,-0.95,0.04,0.39,-0.15,0.08,30.8,0,255,-128,-128,37.4,420,433,507
03/10/2014 21:45:59.444,82,9.3,-3276.8,-5,0.15,0.27,3.757,26,670.000,65535.000,255,0.004680,0.000320,100,66,100,65535,1,389,-1.21,-0.89,-0.12,0.38,-0.06,0.21,30.9,0,255,-128,-128,37.4,420,427,507
03/10/2014 21:46:00.444,78,8.7,-3276.8,-7,0.09,0.19,3.757,26,595.000,65535.000,255,0.004760,0.000260,100,63,100,65535,1,390,-1.12,-1.00,0.03,0.16,0.01,0.21,30.9,0,255,-128,-128,37.4,418,426,513
03/10/2014 21:46:01.444,79,8.7,-3276.8,-10,0.11,0.18,3.757,26,553.000,65535.000,255,0.004760,0.000260,100,63,100,65535,1,391,-1.10,-1.00,0.14,0.28,-0.08,0.15,30.9,0,255,-128,-128,37.4,417,422,505
03/10/2014 21:46:02.444,79,7.8,-3276.8,12,0.08,0.13,3.757,26,513.000,65535.000,255,0.005980,0.000220,100,62,100,65535,1,392,-1.06,-0.98,0.24,0.28,-0.10,0.03,30.9,0,255,-128,-128,37.4,419,427,506
03/10/2014 21:46:03.444,79,7.8,-3276.8,14,0.06,0.09,3.757,26,464.000,65535.000,255,0.005980,0.000240,100,62,100,65535,1,393,-1.10,-0.97,0.22,0.31,-0.09,0.03,30.9,0,255,-128,-128,37.4,415,419,505
03/10/2014 21:46:04.444,82,7.3,-3276.8,15,0.06,0.14,3.757,26,415.000,65535.000,255,0.005200,0.000200,100,62,100,65535,1,394,-1.02,-0.95,0.07,0.37,-0.07,0.04,30.9,0,255,-128,-128,37.4,423,427,514
03/10/2014 21:46:05.444,83,7.3,-3276.8,14,0.07,0.10,3.757,26,384.000,65535.000,255,0.005200,0.000200,100,61,100,65535,1,395,-1.06,-0.97,0.19,0.27,-0.13,-0.02,30.9,0,255,-128,-128,37.4,417,429,507
03/10/2014 21:46:06.444,86,6.9,-3276.8,14,0.04,0.14,3.757,26,351.000,65535.000,255,0.005260,0.000200,100,59,100,65535,1,396,-1.07,-0.97,0.14,0.26,-0.19,-0.12,30.9,0,255,-128,-128,37.4,418,427,507
03/10/2014 21:46:07.444,87,6.9,-3276.8,15,0.03,0.04,3.757,26,319.000,65535.000,255,0.005260,0.000200,100,57,100,65535,1,397,-1.03,-0.97,0.20,0.26,-0.16,-0.12,30.9,0,255,-128,-128,37.4,418,426,506
03/10/2014 21:46:08.444,87,6.5,-3276.8,17,0.06,0.12,3.757,26,290.000,65535.000,255,0.005320,0.000220,100,56,100,65535,1,398,-1.02,-0.89,0.25,0.38,-0.13,0.00,30.9,0,255,-128,-128,37.4,417,425,506
03/10/2014 21:46:09.444,87,6.5,-3276.8,11,0.20,0.39,3.757,26,262.000,65535.000,255,0.005320,0.000400,100,56,100,65535,1,399,-1.16,-0.93,-0.15,0.42,-0.18,0.02,30.9,0,255,-128,-128,37.4,417,423,506
