Time,HR,BR,Posture,Activity,PeakAccel,BatteryLevel,ECGAmplitude,ECGNoise,HRConfidence,ROGState,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak
2014-10-02 06:32:36.438,65,8.1,-17,0.13,0.42,95,0.0,0.0,0,1,-1.28,-0.81,-0.01,0.09,0.12,0.43
2014-10-02 06:32:37.438,65,8.1,-16,0.06,0.09,95,0.0,0.0,0,0,-1.04,-0.98,0.0,0.09,0.26,0.32
2014-10-02 06:32:38.438,65,7.3,-15,0.03,0.07,95,0.0,0.0,0,0,-1.04,-0.98,0.03,0.08,0.25,0.28
2014-10-02 06:32:39.438,65,7.3,-15,0.01,0.04,95,0.0,0.00024,0,0,-1.04,-0.98,0.03,0.08,0.26,0.31
2014-10-02 06:32:40.438,65,6.6,-15,0.01,0.03,95,0.0,0.00048,0,0,-1.04,-1.0,0.03,0.09,0.25,0.31
2014-10-02 06:32:41.438,65,6.6,-15,0.01,0.06,95,0.0,0.00044,0,0,-1.04,-1.0,0.0,0.1,0.26,0.31
2014-10-02 06:32:42.438,65,5.9,-15,0.01,0.03,95,0.0,0.0007,0,1,-1.04,-1.0,0.02,0.09,0.26,0.31
2014-10-02 06:32:43.438,0,5.9,-15,0.01,0.03,95,0.0008,0.00054,0,1,-1.04,-1.0,0.01,0.07,0.25,0.3
2014-10-02 06:32:44.438,60,5.3,-15,0.01,0.03,95,0.0008,0.00042,0,1,-1.03,-1.0,0.02,0.09,0.25,0.31
2014-10-02 06:32:45.438,68,5.3,-15,0.01,0.03,95,0.00324,0.00032,0,1,-1.03,-0.98,0.03,0.09,0.26,0.32
2014-10-02 06:32:46.438,76,4.8,-15,0.01,0.03,95,0.00324,0.00026,0,1,-1.03,-1.0,0.01,0.08,0.25,0.31
2014-10-02 06:32:47.438,82,4.8,-15,0.02,0.07,95,0.0031,0.00022,13,1,-1.03,-1.0,-0.02,0.07,0.25,0.3
2014-10-02 06:32:48.438,83,4.6,-15,0.02,0.04,95,0.0031,0.00018,23,1,-1.03,-0.97,-0.01,0.07,0.26,0.33
2014-10-02 06:32:49.438,84,4.6,-15,0.01,0.03,95,0.00294,0.00014,33,1,-1.04,-0.98,0.01,0.08,0.25,0.31
2014-10-02 06:32:50.438,85,4.8,-15,0.02,0.14,95,0.00294,0.00022,41,1,-1.09,-0.97,-0.09,0.08,0.14,0.36
2014-10-02 06:32:51.438,86,4.8,-10,0.15,0.26,95,0.00336,0.0005,49,1,-1.13,-0.96,-0.12,0.22,-0.02,0.32
2014-10-02 06:32:52.438,90,4.9,-8,0.16,0.25,95,0.00336,0.00062,54,1,-1.15,-0.98,-0.22,0.03,0.04,0.25
2014-10-02 06:32:53.438,92,4.9,-8,0.06,0.1,95,0.00318,0.0006,60,1,-1.14,-0.98,-0.04,0.08,0.07,0.21
2014-10-02 06:32:54.438,94,5.0,-8,0.04,0.09,95,0.00318,0.00046,65,1,-1.12,-1.0,-0.02,0.08,0.13,0.25
2014-10-02 06:32:55.438,96,5.0,-10,0.07,0.18,95,0.0033,0.00056,69,1,-1.1,-0.97,0.03,0.25,0.16,0.26
2014-10-02 06:32:56.438,97,5.4,-10,0.13,0.2,95,0.0033,0.0005,73,1,-1.21,-0.95,-0.13,0.26,0.07,0.25
2014-10-02 06:32:57.438,94,5.4,-7,0.16,0.28,95,0.00334,0.00052,77,1,-1.34,-0.93,-0.09,0.21,-0.09,0.24
2014-10-02 06:32:58.438,91,6.6,-7,0.14,0.21,95,0.00334,0.00044,79,1,-1.18,-0.95,-0.19,0.1,0.04,0.27
2014-10-02 06:32:59.438,88,6.6,-9,0.13,0.34,95,0.00328,0.00052,82,1,-1.14,-0.92,-0.15,0.26,0.04,0.48
2014-10-02 06:33:00.438,85,8.1,-6,0.25,0.48,95,0.00328,0.00052,84,1,-1.31,-0.97,-0.09,0.28,-0.3,0.38
2014-10-02 06:33:01.438,83,8.1,-7,0.19,0.34,95,0.00336,0.00042,86,1,-1.22,-0.8,0.04,0.31,-0.1,0.13
2014-10-02 06:33:02.438,84,9.7,-4,0.17,0.26,95,0.00336,0.0004,88,1,-1.13,-0.95,-0.25,0.04,-0.02,0.18
2014-10-02 06:33:03.438,87,9.7,-4,0.17,0.24,95,0.00324,0.00036,90,1,-1.16,-0.97,-0.26,0.18,0.06,0.21
2014-10-02 06:33:04.438,88,11.1,-8,0.13,0.16,95,0.00324,0.0003,91,1,-1.07,-1.0,-0.12,0.14,0.06,0.25
2014-10-02 06:33:05.438,91,11.1,-9,0.07,0.16,95,0.00314,0.0003,92,1,-1.13,-0.93,-0.18,0.06,0.1,0.28
2014-10-02 06:33:06.438,92,12.7,-10,0.13,0.16,95,0.00314,0.00034,93,1,-1.13,-0.93,-0.18,0.06,0.1,0.28
2014-10-02 06:33:07.438,92,12.7,-10,0.19,0.31,95,0.00278,0.00036,94,1,-1.22,-0.78,-0.18,0.26,-0.03,0.26
2014-10-02 06:33:08.438,94,13.8,-8,0.2,0.53,95,0.00278,0.00048,95,1,-1.55,-0.87,-0.19,0.24,-0.06,0.27
2014-10-02 06:33:09.438,95,13.8,-10,0.14,0.42,95,0.00288,0.00052,95,1,-1.36,-0.84,-0.18,0.26,-0.12,0.38
2014-10-02 06:33:10.438,92,14.5,-12,0.08,0.22,95,0.00288,0.00058,96,1,-1.07,-0.79,-0.15,0.1,0.16,0.37
2014-10-02 06:33:11.438,89,14.5,-14,0.06,0.1,95,0.00302,0.00052,96,1,-1.04,-0.98,-0.12,0.06,0.26,0.31
2014-10-02 06:33:12.438,84,15.2,-14,0.08,0.12,95,0.00302,0.00044,96,1,-1.04,-1.0,-0.07,0.12,0.24,0.34
2014-10-02 06:33:13.438,80,15.2,-14,0.11,0.3,95,0.00288,0.00046,97,1,-1.34,-0.92,-0.21,0.13,0.16,0.32
2014-10-02 06:33:14.438,77,16.3,-13,0.08,0.2,95,0.00288,0.00042,97,1,-1.15,-0.8,-0.12,0.1,0.21,0.37
2014-10-02 06:33:15.438,77,16.3,-9,0.14,0.15,95,0.00278,0.00036,98,1,-1.1,-0.98,0.06,0.16,0.06,0.25
2014-10-02 06:33:16.438,72,17.4,-1,0.24,0.26,95,0.00278,0.0004,98,1,-1.09,-0.97,-0.06,0.26,-0.12,0.12
2014-10-02 06:33:17.438,73,17.4,1,0.15,0.33,95,0.0027,0.00046,98,1,-1.1,-0.97,-0.14,0.0,-0.28,-0.06
2014-10-02 06:33:18.438,76,17.8,-6,0.21,0.24,95,0.0027,0.00054,93,1,-1.08,-0.98,-0.1,0.02,-0.13,0.28
2014-10-02 06:33:19.438,78,17.8,-10,0.16,0.22,95,0.00264,0.00056,90,1,-1.06,-0.98,-0.13,-0.04,0.25,0.36
2014-10-02 06:33:20.438,79,18.1,-10,0.12,0.22,95,0.00264,0.00052,90,1,-1.22,-0.87,-0.25,0.19,0.08,0.37
2014-10-02 06:33:21.438,81,18.1,-10,0.15,0.2,95,0.00296,0.0004,84,1,-1.19,-0.9,-0.18,0.19,0.1,0.25
2014-10-02 06:33:22.438,82,18.7,-12,0.1,0.37,95,0.00296,0.0004,83,1,-1.43,-0.8,-0.15,0.19,0.06,0.33
2014-10-02 06:33:23.438,85,18.7,-9,0.12,0.18,95,0.00302,0.00034,86,1,-1.07,-0.98,-0.16,-0.12,0.02,0.26
2014-10-02 06:33:24.438,88,19.2,-10,0.11,0.21,95,0.00302,0.00034,87,1,-1.16,-0.92,-0.13,0.1,-0.03,0.26
