Time,HR,BR,Posture,Activity,PeakAccel,BatteryLevel,ECGAmplitude,ECGNoise,HRConfidence,ROGState,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak
2014-10-02 11:40:30.429,55,18.0,169,0.07,0.12,73,0.00022,0.00128,4,1,0.95,1.06,0.13,0.21,-0.28,-0.12
2014-10-02 11:40:31.429,56,18.0,168,0.08,0.21,73,0.00022,0.00188,11,1,0.9,1.14,-0.02,0.2,-0.38,-0.08
2014-10-02 11:40:32.429,57,19.2,167,0.1,0.15,73,0.00022,0.0013,14,1,0.92,1.07,0.02,0.2,-0.34,-0.06
2014-10-02 11:40:33.429,57,19.2,167,0.05,0.09,73,0.00022,0.00118,17,1,0.97,1.04,0.08,0.19,-0.24,-0.08
2014-10-02 11:40:34.429,57,20.0,169,0.07,0.31,73,0.00022,0.00076,21,1,0.92,1.24,-0.15,0.16,-0.3,0.04
2014-10-02 11:40:35.429,57,20.0,171,0.2,0.39,73,0.00022,0.0012,21,1,0.77,1.4,-0.2,0.18,-0.34,0.13
2014-10-02 11:40:36.429,58,21.0,173,0.15,0.22,73,0.00022,0.00214,19,1,0.9,1.16,-0.18,0.18,-0.33,0.09
2014-10-02 11:40:37.429,58,21.0,172,0.14,0.28,73,0.00022,0.00188,16,1,0.87,1.26,-0.25,0.19,-0.27,0.08
2014-10-02 11:40:38.429,59,22.2,174,0.25,0.92,73,0.00022,0.00142,14,1,0.51,1.14,-0.77,-0.06,-0.32,0.6
2014-10-02 11:40:39.429,59,22.2,-149,0.83,1.1,73,0.00022,0.00082,13,1,-0.03,0.51,-0.89,-0.54,0.51,0.9
2014-10-02 11:40:40.429,59,23.0,-123,0.61,0.65,73,0.00022,0.0007,11,1,0.1,0.56,-0.77,-0.5,0.5,1.0
2014-10-02 11:40:41.429,59,23.0,-135,0.43,0.81,73,0.00022,0.0014,10,1,0.56,1.24,-0.49,0.06,-0.14,0.51
2014-10-02 11:40:42.429,59,23.4,-161,0.58,0.78,73,0.00022,0.00148,9,1,0.72,1.34,-0.32,0.18,-0.46,0.07
2014-10-02 11:40:43.429,59,23.4,-167,0.31,0.49,73,0.00022,0.00174,9,1,0.75,1.32,-0.33,0.18,-0.33,0.13
2014-10-02 11:40:44.429,59,23.9,-173,0.25,0.49,73,0.00022,0.00182,8,1,0.75,1.32,-0.33,0.18,-0.33,0.13
2014-10-02 11:40:45.429,59,23.9,176,0.24,0.45,73,0.00022,0.00162,7,1,0.81,1.42,-0.22,0.18,-0.36,0.12
2014-10-02 11:40:46.429,60,24.3,176,0.2,0.46,73,0.00022,0.00202,6,1,0.66,1.39,-0.25,0.19,-0.19,0.16
2014-10-02 11:40:47.429,60,24.3,-161,0.42,0.69,73,0.00022,0.00128,5,1,0.66,1.28,-0.67,0.03,-0.19,0.49
2014-10-02 11:40:48.429,60,24.6,-151,0.38,0.65,73,0.00022,0.00096,5,1,0.53,0.96,-0.59,-0.18,0.18,0.8
2014-10-02 11:40:49.429,60,24.6,-134,0.38,0.46,73,0.00022,0.00072,4,1,0.5,0.8,-0.43,-0.3,0.38,0.72
2014-10-02 11:40:50.429,61,24.8,-108,0.63,0.85,73,0.00022,0.001,4,1,-0.15,0.56,-0.83,-0.36,0.4,0.93
2014-10-02 11:40:51.429,61,24.8,-109,0.24,0.68,73,0.00022,0.00126,3,1,-0.18,0.38,-0.77,-0.43,0.33,1.13
2014-10-02 11:40:52.429,61,25.0,-97,0.35,0.59,73,0.00022,0.00102,3,1,-0.2,0.57,-0.95,-0.22,0.46,0.85
2014-10-02 11:40:53.429,61,25.0,-127,0.78,0.87,73,0.00022,0.00112,3,1,-0.22,0.8,-0.86,-0.04,0.03,0.87
2014-10-02 11:40:54.429,61,25.2,-161,0.68,1.14,73,0.00022,0.00152,3,1,0.81,1.27,-0.25,0.24,-0.42,0.12
2014-10-02 11:40:55.429,61,25.2,-176,0.41,0.67,73,0.00022,0.00202,2,1,0.81,1.22,-0.24,0.28,-0.28,0.09
2014-10-02 11:40:56.429,61,25.3,177,0.29,0.6,73,0.00022,0.00192,2,1,0.81,1.48,-0.08,0.42,-0.31,0.24
2014-10-02 11:40:57.429,61,25.3,173,0.15,0.66,73,0.00022,0.00126,2,1,0.77,1.49,-0.03,0.45,-0.18,0.2
2014-10-02 11:40:58.429,62,25.5,174,0.18,0.4,73,0.00022,0.00122,4,1,0.89,1.32,-0.16,0.25,-0.4,0.09
2014-10-02 11:40:59.429,62,25.5,172,0.16,0.36,73,0.00022,0.00146,6,1,0.91,1.12,-0.18,0.21,-0.36,0.14
2014-10-02 11:41:00.429,63,25.6,173,0.13,0.21,73,0.00022,0.00196,8,1,0.91,1.14,0.06,0.21,-0.31,0.02
2014-10-02 11:41:01.429,62,25.6,175,0.12,0.3,73,0.00022,0.00122,7,1,0.84,1.32,-0.06,0.19,-0.19,0.15
2014-10-02 11:41:02.429,62,25.7,176,0.13,0.27,73,0.00022,0.00072,6,1,0.85,1.28,-0.03,0.19,-0.13,0.18
2014-10-02 11:41:03.429,62,25.7,174,0.18,0.27,73,0.00022,0.00148,6,1,0.89,1.13,-0.18,0.18,-0.21,0.15
2014-10-02 11:41:04.429,62,25.8,178,0.17,0.34,73,0.00022,0.00164,5,1,0.81,1.25,-0.18,0.16,-0.26,0.15
2014-10-02 11:41:05.429,63,25.8,178,0.2,0.46,73,0.00022,0.00216,4,1,0.87,1.3,-0.18,0.08,-0.36,0.4
2014-10-02 11:41:06.429,63,25.8,178,0.22,0.46,73,0.00022,0.00266,4,1,0.74,1.4,-0.22,0.19,-0.28,0.38
2014-10-02 11:41:07.429,63,25.8,176,0.22,0.43,73,0.00022,0.00328,4,1,0.61,1.34,-0.27,0.21,-0.44,0.18
2014-10-02 11:41:08.429,63,23.3,172,0.12,0.38,73,0.00022,0.00318,3,1,0.83,1.4,-0.24,0.06,-0.26,0.04
2014-10-02 11:41:09.429,63,23.3,169,0.08,0.18,73,0.00022,0.00176,3,1,0.95,1.06,-0.26,-0.15,-0.19,-0.06
2014-10-02 11:41:10.429,63,20.9,167,0.05,0.09,73,0.00022,0.00108,3,0,0.93,1.02,-0.25,-0.18,-0.18,-0.09
2014-10-02 11:41:11.429,63,20.9,165,0.04,0.07,73,0.00022,0.00052,2,0,0.95,1.02,-0.25,-0.18,-0.21,-0.13
2014-10-02 11:41:12.429,63,18.9,164,0.05,0.06,73,0.00022,0.00048,2,0,0.92,1.01,-0.22,-0.16,-0.21,-0.14
2014-10-02 11:41:13.429,63,18.9,166,0.16,0.21,73,0.00022,0.00098,2,1,0.9,1.1,-0.39,-0.02,-0.21,-0.09
2014-10-02 11:41:14.429,63,17.0,172,0.24,0.45,73,0.00022,0.00234,2,1,0.8,1.43,-0.18,0.15,-0.18,0.16
2014-10-02 11:41:15.429,63,17.0,175,0.23,0.39,73,0.00022,0.00236,2,1,0.78,1.33,-0.18,0.19,-0.37,0.31
2014-10-02 11:41:16.429,64,15.3,176,0.23,0.36,73,0.00022,0.00222,4,1,0.8,1.26,-0.09,0.27,-0.43,0.18
2014-10-02 11:41:17.429,63,15.3,174,0.15,0.42,73,0.00022,0.00234,6,1,0.77,1.33,-0.33,0.28,-0.43,0.21
2014-10-02 11:41:18.429,63,14.4,176,0.2,0.3,73,0.00022,0.00222,15,1,0.87,1.34,-0.19,0.16,-0.32,0.15
2014-10-02 11:41:19.429,64,14.4,173,0.2,0.3,73,0.00022,0.00178,14,1,0.87,1.2,-0.18,0.19,-0.31,0.12
2014-10-02 11:41:20.429,64,13.5,169,0.12,0.31,73,0.00022,0.00118,12,1,0.9,1.2,-0.18,0.06,-0.42,-0.19
2014-10-02 11:41:21.429,65,13.5,175,0.18,0.36,73,0.00022,0.00114,11,1,0.95,1.07,-0.02,0.14,-0.33,0.25
2014-10-02 11:41:22.429,65,12.8,175,0.09,0.19,73,0.00022,0.00064,9,1,0.89,1.09,-0.03,0.19,-0.15,0.09
2014-10-02 11:41:23.429,65,12.8,173,0.06,0.12,73,0.00022,0.00062,8,0,0.97,1.06,0.08,0.19,-0.09,0.02
2014-10-02 11:41:24.429,65,12.4,172,0.06,0.09,73,0.00022,0.00068,7,1,0.95,1.07,0.1,0.2,-0.15,-0.06
2014-10-02 11:41:25.429,65,12.4,170,0.05,0.08,73,0.00022,0.0004,7,0,0.95,1.03,0.18,0.25,-0.14,0.0
2014-10-02 11:41:26.429,65,12.1,170,0.08,0.15,73,0.00022,0.00114,6,0,0.92,1.12,0.16,0.21,-0.21,0.08
2014-10-02 11:41:27.429,65,12.1,169,0.15,0.33,73,0.00022,0.0012,5,0,0.9,1.15,-0.08,0.2,-0.4,-0.07
2014-10-02 11:41:28.429,65,12.4,167,0.05,0.09,73,0.00022,0.0009,5,0,0.95,1.02,0.07,0.22,-0.25,-0.14
2014-10-02 11:41:29.429,65,12.4,166,0.08,0.14,73,0.00022,0.00058,4,0,0.95,1.02,0.02,0.13,-0.37,-0.22
2014-10-02 11:41:30.429,65,12.9,165,0.05,0.1,73,0.00022,0.00058,4,0,0.95,1.06,0.01,0.12,-0.34,-0.19
2014-10-02 11:41:31.429,65,12.9,165,0.05,0.09,73,0.00022,0.0007,3,1,0.95,1.06,0.12,0.19,-0.26,-0.18
2014-10-02 11:41:32.429,65,13.4,166,0.04,0.07,73,0.00022,0.0004,3,0,0.97,1.03,0.13,0.19,-0.24,-0.14
2014-10-02 11:41:33.429,65,13.4,165,0.03,0.07,73,0.00022,0.00026,3,0,0.96,1.03,0.16,0.21,-0.19,-0.14
2014-10-02 11:41:34.429,65,14.2,166,0.03,0.06,73,0.00022,0.0002,3,0,0.95,1.04,0.16,0.21,-0.2,-0.13
2014-10-02 11:41:35.429,65,14.2,166,0.02,0.03,73,0.00022,0.00032,2,0,0.95,1.03,0.16,0.21,-0.21,-0.15
